date,h,m
2023-11-23,5,0
2023-11-24,2,45
2023-11-25,3,26
2023-11-26,8,25
2023-11-27,4,29
2023-11-30,1,37
2023-12-02,1,1
2023-12-22,2,10
2023-12-24,0,17
2023-12-28,2,10
2023-11-22,0,0
2023-12-30,1,10
2023-12-31,3,2
2024-01-01,1,12
2024-01-02,1,1
2024-01-03,0,6
2024-01-06,2,0
2024-01-07,4,41
2024-01-08,3,4
2024-01-13,2,12
